productName,interest_rate,total_amount,monthly_payment
安信 定額私人貸款,1.18,201,200,16,767
Citi 特快現金貸款,1.78,201,920,16,827
信銀國際 $mart Plus 私人貸款,1.9,200,024,16,669
邦民 特快低息私人貸款,4.49,204,800,17,067
WeLend 私人貸款,1.18,201,272,16,773
UA 「NO SHOW」免文件私人貸款,1.68,201,812,16,818
渣打銀行 私人貸款,1.85,206,480,17,207
東亞銀行 「勁快」分期貸款,1.33,203,840,16,987
恒生「易得錢」私人分期貸款,5.86,206,240,17,187
中銀分期「易達錢」,5.85,205,196,17,100
星展銀行 定額私人貸款,6.14,202,400,16,867
UA i-Money 特快網上私人貸款,1.68,201,716,16,810
富邦「合您意」私人貸款,1.88,202,028,16,836
天星銀行Airstar 私人分期貸款,1.58,201,680,16,807
Mox 「即時借」,8.39,208,880,17,407
WeLab Bank 結餘轉戶貸款,1.68,201,680,16,807
天星銀行Airstar 貸款一筆清,2.99,203,079,16,923
Citi 卡數結餘轉戶,6.78,207,200,17,267
渣打銀行 結餘轉戶計劃,4.67,204,992,17,083
AEON 「貸靈活」私人貸款,4.49,204,800,17,067
