productName,interest_rate,total_amount,total_interest,monthly_payment
邦民 特快低息私人貸款,4.49%,HK$314,400,HK$14,400,HK$13,100
Citi 特快現金貸款,1.78%,HK$305,760,HK$5,760,HK$12,740
DBS「貸易清」私人貸款,6.48%,HK$313,680,HK$13,680,HK$13,070
安信 定額私人貸款,1.18%,HK$303,600,HK$3,600,HK$12,650
WeLend 私人貸款,1.88%,HK$308,640,HK$8,640,HK$12,860
信銀國際 $mart Plus分期貸款,1.9%,HK$304,500,HK$4,500,HK$12,938
UA 「NO SHOW」免文件私人貸款,1.68%,HK$319,440,HK$19,440,HK$13,310
「好現金」私人分期貸款,5.95%,HK$321,600,HK$21,600,HK$13,400
 DBS 定額私人貸款,2.2%,HK$312,960,HK$12,960,HK$13,040
渣打「分期貸款」,6.28%,HK$319,440,HK$19,440,HK$13,310
WeLab Bank 結餘轉戶貸款,1.68%,HK$305,760,HK$5,760,HK$12,740
富邦「合您意」私人貸款,1.88%,HK$323,875.20,HK$23,875.20,HK$13,495
UA i-Money 特快網上私人貸款,1.68%,HK$319,440,HK$19,440,HK$13,310
X Wallet 秒批私人貸款APP,8.0%,HK$348,240,HK$48,240,HK$14,510
大新 分期「快應錢」,1.38%,HK$307,473.60,HK$7,473.60,HK$12,811
天星銀行Airstar 星級私人貸款,1.58%,HK$309,360,HK$9,360,HK$12,890
Grantit 免TU特快私人貸款App,4.2%,HK$313,680,HK$13,680,HK$13,070
WeLend Business 中小企貸款,8.23%,HK$325,416,HK$25,924.32,HK$13,830
UA 公務員/專業人士特快低息貸款,1.38%,HK$304,320,HK$4,320,HK$12,680
邦民 特快私人貸款,1.12%,HK$303,600,HK$3,600,HK$12,650
Citibank 卡數結餘轉戶,6.78%,HK$313,680,HK$13,680,HK$13,070
信銀國際 $mart Plus分期貸款 - 結餘轉戶,6.77%,HK$315,336,HK$15,336,HK$13,389
天星銀行Airstar 貸款一筆清,2.99%,HK$309,360,HK$9,360,HK$12,890
AEON 「清數易」貸款,4.64%,HK$314,400,HK$14,400,HK$13,100
大新 清卡數「快應錢」,4.83%,HK$307,920,HK$8,094.24,HK$13,112
AEON 「貸靈活」私人貸款,4.64%,HK$314,400,HK$14,400,HK$13,100
「好現金」結餘轉戶計劃,5.18%,HK$315,840,HK$15,840,HK$13,160
中銀分期「易達錢」,1.85%,HK$315,408,HK$15,408,HK$13,267
UA 低息稅務貸款,1.38%,HK$304,320,HK$4,320,HK$12,680
中銀分期「易達錢」結餘轉戶,10.01%,HK$324,228,HK$24,228,HK$13,760
富邦「EZ Cash」私人貸款,2.88%,HK$332,256,HK$32,256,HK$13,844
滙豐分期「萬應錢」,2.47%*,HK$324,480,HK$24,480,HK$13,520
安信 公務員及專業人士貸款,1.18%,HK$303,600,HK$3,600,HK$12,650
Mox 「即時借」,8.62%,HK$326,640,HK$26,640,HK$13,610
WeLend 結餘轉戶貸款,1.88%,HK$308,640,HK$8,640,HK$12,860
安信 結餘轉戶計劃,1.18%,HK$303,600,HK$3,600,HK$12,650
富邦「卡數清」私人貸款,5.97%,HK$318,511.20,HK$18,511.20,HK$13,271
渣打 結餘轉戶計劃,4.67%,HK$314,508,HK$14,508,HK$13,105
東亞銀行稅季貸款,7.22%,HK$322,320,HK$22,320,HK$13,430
Funki Finance零界限私人貸款 ,6.0%,HK$318,720,HK$18,720,HK$13,280
,,,,
